# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 373K of event 'cycles:u'
# Event count (approx.): 66607604108
#
# Overhead  Command   Shared Object       Symbol                          
# ........  ........  ..................  ................................
#
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000156cd
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9d5
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000015940
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013ba4
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b75
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000148d0
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b80
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000148f2
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b58
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000147fc
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014855
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000148aa
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000000c248
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014867
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b44
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013bf0
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014800
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001486d
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013c12
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d147
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b51
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9b9
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014aec
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000148b4
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000148d8
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001cefb
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014860
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b47
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014824
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013bf5
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b7b
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b64
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000147f0
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000148bf
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000015877
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001485a
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013c18
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014915
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000013b4e
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000148e2
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001481a
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001491a
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001d2f8
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000015828
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x00000000000158d0
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014891
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001c9b4
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001572f
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000000c252
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x0000000000014887
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001ca0b
     0.00%  n_queens  ld-2.31.so          [.] memset
     0.00%  n_queens  libc-2.31.so        [.] __GI_____strtoull_l_internal
     0.00%  n_queens  libc-2.31.so        [.] _dl_addr
     0.00%  n_queens  libc-2.31.so        [.] handle_intel.constprop.0
     0.00%  n_queens  ld-2.31.so          [.] strcmp
     0.00%  n_queens  ld-2.31.so          [.] _dl_check_map_versions
     0.00%  n_queens  ld-2.31.so          [.] open_verify.constprop.0
     0.00%  n_queens  ld-2.31.so          [.] _dl_relocate_object
     0.00%  n_queens  ld-2.31.so          [.] __GI___tunables_init
     0.00%  n_queens  ld-2.31.so          [.] do_lookup_x
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001a650
     0.00%  n_queens  libc-2.31.so        [.] __ctype_init
     0.00%  n_queens  libgomp.so.1.0.0    [.] 0x000000000001a654
     0.00%  n_queens  libc-2.31.so        [.] __clone
     0.00%  n_queens  ld-2.31.so          [.] _dl_setup_hash
     0.00%  n_queens  libpthread-2.31.so  [.] 0x0000000000006954
     0.00%  n_queens  libc-2.31.so        [.] __munmap


#
# (Cannot load tips.txt file, please install perf!)
#
